fold,n,accuracy,f1_macro,f1_true,precision_true,recall_true,f1_false,precision_false,recall_false,tn,fp,fn,tp
0,816,0.9142156862745098,0.7574728260869565,0.5625,0.8035714285714286,0.4326923076923077,0.9524456521739131,0.9223684210526316,0.9845505617977528,701,11,59,45
1,816,0.9080882352941176,0.7524742464013718,0.5562130177514792,0.7230769230769231,0.4519230769230769,0.9487354750512645,0.9241011984021305,0.9747191011235955,694,18,57,47
2,816,0.9080882352941176,0.7755997755997757,0.6031746031746031,0.6705882352941176,0.5480769230769231,0.9480249480249481,0.9357045143638851,0.9606741573033708,684,28,47,57
3,815,0.8871165644171779,0.6662452816750943,0.39473684210526316,0.6122448979591837,0.2912621359223301,0.9377537212449256,0.9046997389033943,0.973314606741573,693,19,73,30
