model,prompt_mode,demo_mode,demo_size,embedding_mode,retrieval_mode,thinking_mode,fold,n_scored,n_abstained,accuracy,f1_macro,precision_true,recall_true,precision_false,recall_false
gpt-5.5-2026-04-23,title,None,0,None,None,True,0,816,0,0.4681,0.4428,0.1933,1.0,1.0,0.3904
gpt-5.5-2026-04-23,title,None,0,None,None,True,1,816,0,0.4645,0.4399,0.1922,1.0,1.0,0.3862
gpt-5.5-2026-04-23,title,None,0,None,None,True,2,816,0,0.462,0.4379,0.1915,1.0,1.0,0.3834
gpt-5.5-2026-04-23,title,None,0,None,None,True,3,815,0,0.4626,0.4378,0.1904,1.0,1.0,0.3848
